"Метод";"Общая продолжительность (мс)";"Средняя продолжительность (мс)";"Количество вызовов";"Максимальная продолжительность (мс)";"ОтветственныйЗаМетод";
"Задача.Список";"128788716";"168,29";"765258";"7474";"['Дружинец Е.Н.']";
"ПапкаДокументов.СписокПапокИГрупп";"100278119";"156,24";"641818";"3728";"['Дружинец Е.Н.']";
"CRMEvent.listWithDocumentsEDO";"87604663";"258,5";"338892";"8380";"['Рыженко Д.А.']";
"ContractorCard.Read";"75055208";"546,72";"137283";"5050";"['Скворцова А.Е.']";
"CRMEvent.CallsForDocumentEventRegistry";"65315795";"243,44";"268303";"45639";"['Кочетовский А.Н.']";
